Pick #,Round Pick #,Owner,Pick,Team,Pos.
1,1.01,Shashaank/Manav,Todd Gurley,LAR,RB
2,1.02,Liam (via Shray via Sai/Jack),Le'Veon Bell,PIT,RB
3,1.03,Sai (via Shray via Liam),Ezekiel Elliott,DAL,RB
4,1.04,Adrian,Antonio Brown,PIT,WR
5,1.05,Deven,David Johnson,ARI,RB
6,1.06,Rushil/Insung,Alvin Kamara,NO,RB
7,1.07,Aryan/Joel (via Ani/Ashrit),Leonard Fournette,JAX,RB
8,1.08,Krishna/Matthew,Melvin Gordon,LAC,RB
9,1.09,Mateen/Kruthik,DeAndre Hopkins,HOU,WR
10,1.10,Shray (via Sai/Jack via Shray),Saquon Barkley,NYG,RB
11,1.11,Davis/Nile,Dalvin Cook,MIN,RB
12,1.12,Ani/Ashrit (via Aryan/Joel),Kareem Hunt,KC,RB
13,2.01,Deven (via Aryan/Joel),Odell Beckham Jr.,NYG,WR
14,2.02,Davis/Nile,Keenan Allen,LAC,WR
15,2.03,Ani (via Shray),Julio Jones,ATL,WR
16,2.04,Mateen/Kruthik,Christian McCaffrey,CAR,RB
17,2.05,Liam (via Krishna/Matthew),Michael Thomas,NO,WR
18,2.06,Shashaank/Manav (via Ani/Ashrit),Devonta Freeman,ATL,RB
19,2.07,Rushil/Insung,Davante Adams,GB,WR
20,2.08,Shray (via Ani/Ashrit via Aryan/Joel via Deven),Jordan Howard,CHI,RB
21,2.09,Adrian,Joe Mixon,CIN,RB
22,2.10,Shashaank/Manav (via Liam),AJ Green,CIN,WR
23,2.11,Sai/Jack,Mike Evans,TB,WR
24,2.12,Liam (via Shashaank/Manav),Jerrick McKinnon,SF,RB
25,3.01,Shray (via Ani/Ashrit via Shashaank/Manav),Royce Freeman,DEN,RB
26,3.02,Sai/Jack,Doug Baldwin,SEA,WR
27,3.03,Krishna/Matthew (via Liam),Alex Collins,BAL,RB
28,3.04,Davis/Nile (via Adrian),Rob Gronkowski,NE,TE
29,3.05,Deven,LeSean McCoy,BUF,RB
30,3.06,Rushil/Insung,Stefon Diggs,MIN,WR
31,3.07,Aryan/Joel (via Ani/Ashrit),Adam Thielen,MIN,WR
32,3.08,Krishna/Matthew,TY Hilton,IND,WR
33,3.09,Mateen/Kruthik,Tyreek Hill,KC,WR
34,3.10,Sai/Jack (via Shray),Kenyan Drake,MIA,RB
35,3.11,Ani/Ashrit (via Davis/Nile),Marvin Jones Jr.,DET,WR
36,3.12,Aryan/Joel,Travis Kelce,KC,TE
37,4.01,Aryan/Joel,Allen Robinson,CHI,WR
38,4.02,Adrian (via Davis/Nile),Derrick Henry,TEN,RB
39,4.03,Ani/Ashrit (via Shray),Lamar Miller,HOU,RB
40,4.04,Mateen/Kruthik,Zach Ertz,PHI,TE
41,4.05,Krishna/Matthew,Demaryius Thomas,DEN,WR
42,4.06,Aryan/Joel (via Ani/Ashrit),Jay Ajayi,PHI,RB
43,4.07,Rushil/Insung,Marshawn Lynch,OAK,RB
44,4.08,Deven,Amari Cooper,OAK,WR
45,4.09,Adrian,Larry Fitzgerald,ARI,WR
46,4.10,Liam,Josh Gordon,CLE,WR
47,4.11,Shray (via Sai/Jack),Jarvis Landry,CLE,WR
48,4.12,Davis (via Ani/Ashrit via Shashaank/Manav),Mark Ingram,NO,RB
49,5.01,Shashaank/Manav,Golden Tate,DET,WR
50,5.02,Sai/Jack,Greg Olsen,CAR,TE
51,5.03,Krishna/Matthew (via Liam),Jimmy Graham,GB,TE
52,5.04,Adrian,JuJu Smith-Schuster,PIT,WR
53,5.05,Davis (via Ani/Ashrit via Aryan/Joel via Deven),Dion Lewis,TEN,RB
54,5.06,Rushil/Insung,Aaron Rodgers,GB,QB
55,5.07,Liam (via Shashaank/Manav via Ani/Ashrit),Chris Hogan,NE,WR
56,5.08,Shashaank/Manav (via Liam via Krishna/Matthew),Brandin Cooks,LAR,WR
57,5.09,Mateen/Kruthik,Isaiah Crowell,NYJ,RB
58,5.10,Shray,Corey Davis,TEN,WR
59,5.11,Adrian (via Davis/Nile),Rex Burkhead,NE,RB
60,5.12,Deven (via Aryan/Joel),Evan Engram,NYG,TE
61,6.01,Ani/Ashrit (via Aryan/Joel),Marquise Goodwin,SF,WR
62,6.02,Davis/Nile,Emmanuel Sanders,DEN,WR
63,6.03,Shray,Kerryon Johnson,DET,RB
64,6.04,Mateen/Kruthik,Alshon Jeffery,PHI,WR
65,6.05,Krishna/Matthew,Chris Carson,SEA,RB
66,6.06,Rushil/Insung (via Ani/Ashrit),Carlos Hyde,CLE,RB
67,6.07,Ani/Ashrit (via Rushil/Insung),Tevin Coleman,ATL,RB
68,6.08,Deven,Rashaad Penny,SEA,RB
69,6.09,Adrian,Delanie Walker,TEN,TE
70,6.10,Krishna/Matthew (via Liam),Tom Brady,NE,QB
71,6.11,Shray (via Sai/Jack),Drew Brees,NO,QB
72,6.12,Shashaank/Manav,Russell Wilson,SEA,QB
73,7.01,Aryan/Joel (via Ani/Ashrit via Shashaank/Manav),Devin Funchess,CAR,WR
74,7.02,Sai/Jack,Robby Anderson,NYJ,WR
75,7.03,Sai/Jack (via Shray via Liam),Cam Newton,CAR,QB
76,7.04,Ani/Ashrit (via Davis/Nile via Adrian),Kyle Rudolph,MIN,TE
77,7.05,Deven,Deshaun Watson,HOU,QB
78,7.06,Liam (via Rushil/Insung),Trey Burton,CHI,TE
79,7.07,Ani/Ashrit,Michael Crabtree,BAL,WR
80,7.08,Krishna/Matthew,Jamaal Williams,GB,RB
81,7.09,Mateen/Kruthik,Peyton Barber,TB,RB
82,7.10,Rushil (via Liam via Shray),Jordan Reed,WAS,TE
83,7.11,Davis/Nile,Sammy Watkins,KC,WR
84,7.12,Ani/Ashrit (via Aryan/Joel),Adrian Peterson,WAS,RB
85,8.01,Aryan/Joel (via Deven via Aryan/Joel),Kirk Cousins,MIN,QB
86,8.02,Davis/Nile,Ben Roethlisberger,PIT,QB
87,8.03,Ani/Ashrit (via Shray),Ronald Jones II,TB,RB
88,8.04,Mateen/Kruthik,Robert Woods,LAR,WR
89,8.05,Krishna/Matthew,Pierre Garcon,SF,WR
90,8.06,Ani/Ashrit,Jamison Crowder,WSH,WR
91,8.07,Ani/Ashrit (via Rushil/Insung),Marlon Mack,IND,WR
92,8.08,Deven,Cooper Kupp,LAR,WR
93,8.09,Adrian,Andrew Luck,IND,QB
94,8.10,Liam,Sony Michel,NE,RB
95,8.11,Sai/Jack,Will Fuller V,HOU,WR
96,8.12,Liam (via Shashaank/Manav),Carson Wentz,PHI,QB
97,9.01,Shashaank/Manav,Chris Thompson,WSH,RB
98,9.02,Sai/Jack,Tarik Cohen,CHI,RB
99,9.03,Liam,Aaron Jones,GB,RB
100,9.04,Adrian,CJ Anderson,CAR,RB
101,9.05,Deven,Jordy Nelson,OAK,WR
102,9.06,Rushil/Insung,Jaguars D/ST,JAX,D/ST
103,9.07,Shray (via Ani/Ashrit),David Njoku,CLE,TE
104,9.08,Krishna/Matthew,Tyler Lockett,SEA,WR
105,9.09,Mateen/Kruthik,Eagles D/ST,PHI,D/ST
106,9.10,Shray,Kenny Stills,MIA,WR
107,9.11,Davis/Nile,Bilal Powell,NYJ,RB
108,9.12,Aryan/Joel,Jordan Wilkins,IND,RB
109,10.01,Aryan/Joel,Rams D/ST,LA,D/ST
110,10.02,Davis/Nile,Harrison Butker,KC,K
111,10.03,Shray,Mike Williams,LAC,WR
112,10.04,Mateen/Kruthik,Matt Ryan,ATL,QB
113,10.05,Krishna/Matthew,Vikings D/ST,MIN,D/ST
114,10.06,Ani/Ashrit,Philip Rivers,LAC,QB
115,10.07,Rushil/Insung,Kelvin Benjamin,BUF,WR
116,10.08,Deven,Nick Chubb,CLE,RB
117,10.09,Adrian,Keelan Cole,JAX,WR
118,10.10,Rushil/Insung (via Liam),Latavius Murray,MIN,RB
119,10.11,Shray (via Sai/Jack),Julian Edelman,NE,WR
120,10.12,Shashaank/Manav,Jack Doyle,IND,TE
121,11.01,Shashaank/Manav,Greg Zuerlein,LAR,K
122,11.02,Sai/Jack,Sterling Shepard,NYG,WR
123,11.03,Liam,Randall Cobb,GB,WR
124,11.04,Adrian,Chargers D/ST,LAC,D/ST
125,11.05,Deven,Anthony Miller,CHI,WR
126,11.06,Rushil/Insung,Matthew Stafford,DET,QB
127,11.07,Ani/Ashrit,Allen Hurns,DAL,WR
128,11.08,Krishna/Matthew,Giovanni Bernard,CIN,RB
129,11.09,Mateen/Kruthik,Corey Clement,PHI,RB
130,11.10,Shray,Cameron Meredith,NO,WR
131,11.11,Davis/Nile,Lagarette Blount,DET,RB
132,11.12,Aryan/Joel,Mohammad Sanu,ATL,WR
133,12.01,Aryan/Joel,Jimmy Garoppolo,SF,QB
134,12.02,Davis/Nile,Nelson Agholor,PHI,WR
135,12.03,Shray,Patrick Mahomes,KC,QB
136,12.04,Mateen/Kruthik,Ravens D/ST,BAL,D/ST
137,12.05,Krishna/Matthew,Calvin Ridley,WR,WR
138,12.06,Ani/Ashrit,Texans D/ST,HOU,D/ST
139,12.07,Rushil/Insung,TJ Yeldon,JAX,RB
140,12.08,Aryan/Joel (via Deven),Chris Boswell,PIT,K
141,12.09,Adrian,Stephen Gostkowski,NE,K
142,12.10,Liam,D.J. Moore,CAR,WR
143,12.11,Sai/Jack,Austin Ekeler,LAC,RB
144,12.12,Shashaank/Manav,Duke Johnson,CLE,RB
145,13.01,Shashaank/Manav,Devante Parker,MIA,WR
146,13.02,Sai/Jack,Broncos D/ST,DEN,D/ST
147,13.03,Liam,Tyrod Taylor,CLE,QB
148,13.04,Adrian,Jared Goff,LAR,QB
149,13.05,Deven,Tyler Eifert,CIN,TE
150,13.06,Rushil/Insung,Matt Prater,DET,K
151,13.07,Ani/Ashrit,Alex Smith,WSH,QB
152,13.08,Krishna/Matthew,Will Lutz,NO,K
153,13.09,Mateen/Kruthik,Justin Tucker,BAL,K
154,13.10,Shray,D’onta Foreman,HOU,RB
155,13.11,Davis/Nile,Patriots D/ST,NE,D/ST
156,13.12,Aryan/Joel,George Kittle,SF,TE
157,14.01,Aryan/Joel,Kenneth Dixon,BAL,RB
158,14.02,Davis/Nile,Cole Beasley,DAL,RB
159,14.03,Shray,Panthers D/ST,CAR,D/ST
160,14.04,Mateen/Kruthik,Desean Jackson,TB,WR
161,14.05,Krishna/Matthew,Samaje Perine,WAS,RB
162,14.06,Ani/Ashrit,Matt Bryant,ATL,K
163,14.07,Rushil/Insung,Dak Prescott,DAL,QB
164,14.08,Deven,Saints D/ST,NO,D/ST
165,14.09,Adrian,Josh Doctson,WAS,WR
166,14.10,Liam,Robbie Gould,SF,K
167,14.11,Sai/Jack,Kenny Golladay,DET,WR
168,14.12,Shashaank/Manav,Titans D/ST,TEN,D/ST
169,15.01,Shashaank/Manav,Ty Montgomery,GB,RB
170,15.02,Sai/Jack,James White,NE,RB
171,15.03,Liam,Michael Gallup,DAL,WR
172,15.04,Adrian,Doug Martin,OAK,RB
173,15.05,Deven,Mitch Trubisky,CHI,QB
174,15.06,Rushil/Insung,Brandon Marshall,NYG,WR
175,15.07,Ani/Ashrit,Terrelle Pryor,NYJ,WR
176,15.08,Krishna/Matthew,James Washington,PIT,WR
177,15.09,Mateen/Kruthik,Marcus Mariota,TEN,QB
178,15.10,Shray,Austin Hooper,ATL,TE
179,15.11,Davis/Nile,Derek Carr,OAK,QB
180,15.12,Aryan/Joel,Chris Ivory,BUF,RB
181,16.01,Aryan/Joel,Dez Bryant,FA,WR
182,16.02,Davis/Nile,Cameron Brate,TB,TE
183,16.03,Shray,Adam Vinatieri,IND,K
184,16.04,Mateen/Kruthik,Darius Guice,WAS,RB
185,16.05,Krishna/Matthew,Eli Manning,NY,TE
186,16.06,Ani/Ashrit,N. Hines,IND,RB
187,16.07,Rushil/Insung,Ameer Abdullah,DET,RB
188,16.08,Deven,Jake Elliot,PHI,K
189,16.09,Adrian,Eric Ebron,IND,TE
190,16.10,Liam,Lions D/ST,DET,D/ST
191,16.11,Sai/Jack,Sebastian Janikowski,SEA,K
192,16.12,Shashaank/Manav,Baker Mayfield,CLE,QB
