Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
1,1.01,Shray,,Jonathan Taylor,IND,RB
2,1.02,Sai/Jack,,Christian McCaffrey,CAR,RB
3,1.03,Kruthik/Davis,,Derrick Henry,TEN,RB
4,1.04,Vib/Pranav,Shashaank/Rawad,Austin Ekeler,LAC,RB
5,1.05,Rohan/Mani,,Dalvin Cook,MIN,RB
6,1.06,Deven/Insung,Mateen/Krishna,Cooper Kupp,LAR,WR
7,1.07,Shashaank/Rawad,Vib/Pranav,Najee Harris,PIT,RB
8,1.08,Joel/Aryan,,Justin Jefferson,MIN,WR
9,1.09,Deven/Insung,,Ja'Marr Chase,CIN,WR
10,1.1,Ani/Adrian,,Joe Mixon,CIN,RB
11,1.11,Liam/Rushil,Manav/Brian,D'Andre Swift,DET,RB
12,1.12,Liam/Rushil,,Travis Kelce,KC,TE
13,2.01,Joel/Aryan,"Manav/Brian, Liam/Rushil",Davante Adams,LV,WR
14,2.02,Vib/Pranav,Manav/Brian,Aaron Jones,GB,RB
15,2.03,Ani/Adrian,,Nick Chubb,CLE,RB
16,2.04,Mateen/Krishna,Deven/Insung,Stefon Diggs,BUF,WR
17,2.05,Manav/Brian,Joel/Aryan,CeeDee Lamb,DAL,WR
18,2.06,Shashaank/Rawad,Vib/Pranav,Tyreek Hill,MIA,WR
19,2.07,Mateen/Krishna,,Leonard Fournette,TB,RB
20,2.08,Rohan/Mani,,Alvin Kamara,NO,RB
21,2.09,Manav/Brian,"Vib/Pranav, Shashaank/Rawad",Mark Andrews,BAL,TE
22,2.1,Kruthik/Davis,,Saquon Barkley,NYG,RB
23,2.11,Sai/Jack,,Deebo Samuel,SF,WR
24,2.12,Shray,,Mike Evans,TB,WR
25,3.01,Shray,,Javonte Williams,DEN,RB
26,3.02,Sai/Jack,,Tee Higgins,CIN,WR
27,3.03,Kruthik/Davis,,David Montgomery,CHI,RB
28,3.04,Shashaank/Rawad,,Breece Hall,NYJ,RB
29,3.05,Rohan/Mani,,James Conner,ARI,RB
30,3.06,Mateen/Krishna,,Cam Akers,LAR,RB
31,3.07,Manav/Brian,Vib/Pranav,Ezekiel Elliott,DAL,RB
32,3.08,Joel/Aryan,,JK Dobbins,BAL,RB
33,3.09,Mateen/Krishna,Deven/Insung,DJ Moore,CAR,WR
34,3.1,Ani/Adrian,,Keenan Allen,LAC,WR
35,3.11,Vib/Pranav,Manav/Brian,Travis Etienne,JAX,RB
36,3.12,Manav/Brian,Liam/Rushil,Michael Pittman,IND,WR
37,4.01,Liam/Rushil,,AJ Brown,PHI,WR
38,4.02,Liam/Rushil,Manav/Brian,Mike Williams,LAC,WR
39,4.03,Ani/Adrian,,Kyle Pitts,ATL,TE
