Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
40,4.04,Mateen/Krishna,Deven/Insung,Josh Jacobs,LV,RB
41,4.05,Joel/Aryan,,Miles Sanders,PHI,RB
42,4.06,Shashaank/Rawad,Vib/Pranav,Diontae Johnson,PIT,WR
43,4.07,Deven/Insung,Mateen/Krishna,Courtland Sutton,DEN,WR
44,4.08,Rohan/Mani,,George Kittle,SF,TE
45,4.09,Liam/Rushil,"Vib/Pranav, Shashaank/Rawad",Terry McLaurin,WAS,WR
46,4.1,Shray,Kruthik/Davis,Jaylen Waddle,MIA,WR
47,4.11,Sai/Jack,,Elijah Mitchell,SF,RB
48,4.12,Kruthik/Davis,Shray,Darren Waller,LV,TE
49,5.01,Kruthik/Davis,Shray,DK Metcalf,SEA,WR
50,5.02,Sai/Jack,,Antonio Gibson,WAS,RB
51,5.03,Manav/Brian,"Shray, Kruthik/Davis",Rashaad Penny,SEA,RB
52,5.04,Shashaank/Rawad,,Jerry Jeudy,DEN,WR
53,5.05,Rohan/Mani,,Josh Allen,BUF,QB
54,5.06,Deven/Insung,Mateen/Krishna,Brandin Cooks,HOU,WR
55,5.07,Shray,"Manav/Brian, Vib/Pranav",Marquise Brown,ARI,WR
56,5.08,Joel/Aryan,,Darnell Mooney,CHI,WR
57,5.09,Deven/Insung,,Justin Herbert,LAC,QB
58,5.1,Vib/Pranav,Ani/Adrian,Rashod Bateman,BAL,WR
59,5.11,Vib/Pranav,Manav/Brian,Damien Harris,NE,RB
60,5.12,Vib/Pranav,Liam/Rushil,Amon-Ra St. Brown,DET,WR
61,5.13,Sai/Jack,,Amari Cooper,CLE,WR
62,6.01,Ani/Adrian,"Vib/Pranav, Liam/Rushil",Allen Robinson,LAR,WR
63,6.02,Manav/Brian,,Cordarrelle Patterson,ATL,RB
64,6.03,Ani/Adrian,,AJ Dillon,GB,RB
65,6.04,Mateen/Krishna,Deven/Insung,Kareem Hunt,CLE,RB
66,6.05,Deven/Insung,Joel/Aryan,Dalton Schultz,DAL,TE
67,6.06,Shray,"Manav/Brian, Vib/Pranav",JuJu Smith-Schuster,KC,WR
68,6.07,Shashaank/Rawad,"Joel/Aryan, Deven/Insung, Mateen/Krishna",Clyde Edwards-Helaire,KC,RB
69,6.08,Rohan/Mani,,Michael Thomas,NO,WR
70,6.09,Joel/Aryan,Shashaank/Rawad,Patrick Mahomes,KC,QB
71,6.1,Kruthik/Davis,,Devonta Smith,PHI,WR
72,6.11,Sai/Jack,,Lamar Jackson,BAL,QB
73,6.12,Shray,,Gabriel Davis,BUF,WR
74,6.13,Shashaank/Rawad,,Kenneth Walker,SEA,RB
75,7.01,Manav/Brian,Shray,Jalen Hurts,PHI,QB
76,7.02,Sai/Jack,,Elijah Moore,NYJ,WR
77,7.03,Kruthik/Davis,,Chris Godwin,TB,WR
78,7.04,Shashaank/Rawad,,Kyler Murray,ARI,QB
79,7.05,Rohan/Mani,,Adam Thielen,MIN,WR
80,7.06,Mateen/Krishna,,Hunter Renfrow,LV,WR
81,7.07,Liam/Rushil,Vib/Pranav,Chase Edmonds,MIA,RB
82,7.08,Manav/Brian,Joel/Aryan,Tony Pollard,DAL,RB
83,7.09,Deven/Insung,,Devin Singletary,BUF,RB
84,7.1,Ani/Adrian,,DeAndre Hopkins,ARI,WR
85,7.11,Shray,"Vib/Pranav, Manav/Brian",Drake London,ATL,WR
86,7.12,Liam/Rushil,,Allen Lazard,GB,WR
87,7.13,Rohan/Mani,,Robert Woods,TEN,WR
88,8.01,Liam/Rushil,,Russell Wilson,DEN,QB
89,8.02,Manav/Brian,,Christian Kirk,JAX,WR
90,8.03,Ani/Adrian,,Tom Brady,TB,QB
91,8.04,Joel/Aryan,Deven/Insung,Chris Olave,NO,WR
92,8.05,Deven/Insung,Joel/Aryan,Melvin Gordon,DEN,RB
93,8.06,Vib/Pranav,,Rhamondre Stevenson,NE,RB
94,8.07,Mateen/Krishna,,Dallas Goedert,PHI,TE
95,8.08,Rohan/Mani,,Tyler Lockett,SEA,WR
96,8.09,Shashaank/Rawad,,Brandon Aiyuk,SF,WR
97,8.1,Kruthik/Davis,,Treylon Burks,TEN,WR
98,8.11,Sai/Jack,,TJ Hockenson,DET,TE
99,8.12,Rohan/Mani,"Vib/Pranav, Shray",Joe Burrow,CIN,QB
100,8.13,Deven/Insung,,Chase Claypool,PIT,WR
101,9.01,Shray,,Trey Lance,SF,QB
102,9.02,Sai/Jack,,Ronald Jones,KC,RB
103,9.03,Kruthik/Davis,,Dak Prescott,DAL,QB
104,9.04,Shashaank/Rawad,,Michael Carter,NYJ,RB
105,9.05,Vib/Pranav,Rohan/Mani,Matthew Stafford,LAR,QB
106,9.06,Mateen/Krishna,,Aaron Rodgers,GB,QB
107,9.07,Ani/Adrian,Vib/Pranav,Michael Gallup,DAL,WR
108,9.08,Joel/Aryan,,Zach Ertz,ARI,TE
109,9.09,Mateen/Krishna,Deven/Insung,Kadarius Toney,NYG,WR
110,9.1,Ani/Adrian,,James Cook,BUF,RB
111,9.11,Manav/Brian,,Marquez Valdes-Scantling,KC,WR
112,9.12,Manav/Brian,Liam/Rushil,Darrell Henderson,LAR,RB
113,9.13,Shray,,Kenneth Gainwell,PHI,RB
114,10.01,Liam/Rushil,,Garrett Wilson,NYJ,WR
115,10.02,Manav/Brian,,Tim Patrick,DEN,WR
116,10.03,Ani/Adrian,,Skyy Moore,KC,WR
117,10.04,Rohan/Mani,Deven/Insung,Alexander Mattison,MIN,RB
118,10.05,Joel/Aryan,,Marlon Mack,HOU,RB
119,10.06,Joel/Aryan,"Shashaank/Rawad, Vib/Pranav",Mark Ingram,NO,RB
120,10.07,Mateen/Krishna,,Dameon Pierce,HOU,RB
121,10.08,Deven/Insung,Rohan/Mani,Tyler Allgeier,ATL,RB
122,10.09,Shashaank/Rawad,,Kenny Golladay,NYG,WR
123,10.1,Kruthik/Davis,,James Robinson,JAX,RB
124,10.11,Sai/Jack,,Russell Gage,TB,WR
125,10.12,Vib/Pranav,Shray,Dawson Knox,BUF,TE
126,10.13,Shray,,Cole Kmet,CHI,TE
127,11.01,Shray,,Tyrion Davis-Price,SF,RB
128,11.02,Shashaank/Rawad,Sai/Jack,Albert Okwuegbunam,DEN,TE
129,11.03,Kruthik/Davis,,Jarvis Landry,NO,WR
130,11.04,Mateen/Krishna,Shashaank/Rawad,Raheem Mostert,MIA,RB
131,11.05,Vib/Pranav,Rohan/Mani,Isaiah Spiller,LAC,RB
132,11.06,Sai/Jack,"Shashaank/Rawad, Mateen/Krishna",Pat Freiermuth,PIT,TE
133,11.07,Vib/Pranav,,Christian Watson,GB,WR
134,11.08,Shashaank/Rawad,Joel/Aryan,Bills D/ST,BUF,D/ST
135,11.09,Deven/Insung,,DeVante Parker,NE,WR
136,11.1,Ani/Adrian,,Rondale Moore,ARI,WR
137,11.11,Manav/Brian,,Julio Jones,TB,WR
138,11.12,Liam/Rushil,,Gus Edwards,BAL,RB
139,11.13,Deven/Insung,Mateen/Krishna,JD McKissic,WAS,RB
140,12.01,Liam/Rushil,,Jamaal Williams,DET,RB
141,12.02,Manav/Brian,,Jameson Williams,DET,WR
142,12.03,Ani/Adrian,,Nyheim Hines,IND,RB
143,12.04,Deven/Insung,,Khalil Herbert,CHI,RB
144,12.05,Joel/Aryan,,Saints D/ST,NO,D/ST
145,12.06,Vib/Pranav,,Rachaad White,TB,RB
146,12.07,Mateen/Krishna,,Buccaneers D/ST,TB,D/ST
147,12.08,Rohan/Mani,,Cowboys D/ST,DAL,D/ST
148,12.09,Sai/Jack,Shashaank/Rawad,49ers D/ST,SF,D/ST
149,12.1,Kruthik/Davis,,Kenyan Drake,LV,RB
150,12.11,Sai/Jack,,D'Onta Foreman,CAR,RB
151,12.12,Kruthik/Davis,Shray,Colts D/ST,IND,D/ST
152,12.13,Mateen/Krishna,,DJ Chark,DET,WR
153,13.01,Shray,,Brian Robinson,WAS,RB
154,13.02,Sai/Jack,,Darrel Williams,ARI,RB
155,13.03,Kruthik/Davis,,Mecole Hardman,KC,WR
156,13.04,Shashaank/Rawad,,Justin Tucker,BAL,K
157,13.05,Rohan/Mani,,Tyler Bass,BUF,K
158,13.06,Mateen/Krishna,,Chuba Hubbard,CAR,RB
159,13.07,Vib/Pranav,,Jahan Dotson,WAS,WR
160,13.08,Joel/Aryan,,Marcus Mariota,ATL,QB
161,13.09,Joel/Aryan,Deven/Insung,Evan McPherson,CIN,K
162,13.1,Ani/Adrian,,Matt Gay,LAR,K
163,13.11,Manav/Brian,,Broncos D/ST,DEN,D/ST
164,13.12,Liam/Rushil,,Panthers D/ST,CAR,D/ST
165,13.13,Ani/Adrian,,Ravens D/ST,BAL,D/ST
166,14.01,Liam/Rushil,,Harrison Butker,KC,K
167,14.02,Manav/Brian,,Trey Sermon,SF,RB
168,14.03,Ani/Adrian,,Tyler Boyd,CIN,WR
169,14.04,Deven/Insung,,Rams D/ST,LAR,D/ST
170,14.05,Joel/Aryan,,Nico Collins,HOU,WR
171,14.06,Vib/Pranav,,Chargers D/ST,LAC,D/ST
172,14.07,Shashaank/Rawad,Mateen/Krishna,Jakobi Meyers,NE,WR
173,14.08,Deven/Insung,Rohan/Mani,Brandon McManus,DEN,K
174,14.09,Shashaank/Rawad,,Derek Carr,LV,QB
175,14.1,Kruthik/Davis,,Nick Folk,NE,K
176,14.11,Sai/Jack,,Daniel Carlson,LV,K
177,14.12,Shray,,Wan'Dale Robinson,NYG,WR
178,14.13,Liam/Rushil,Manav/Brian,Jalen Tolbert,DAL,WR
