Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
135,11.09,Joel/Aryan,,Parris Campbell,IND,WR
136,11.1,Shashaank/Rawad,,Pittsburgh Steelers,PIT,D/ST
137,11.11,Shray,,Darrel Williams,KC,RB
138,11.12,Kruthik/Davis,,Harrison Butker,KC,K
139,11.13,Liam/Rushil,,Marvin Jones Jr.,JAX,WR
140,12.01,Kruthik/Davis,,Jalen Reagor,PHI,WR
141,12.02,Shray,,J.D. McKissic,WAS,RB
142,12.03,Shashaank/Rawad,,Xavier Jones,,
143,12.04,Joel/Aryan,,Younghoe Koo,ATL,K
144,12.05,Liam/Rushil,,San Francisco 49ers,SF,D/ST
145,12.06,Vib/Adrian,,Jamison Crowder,NYJ,WR
146,12.07,Mateen/Krishna,,Baltimore Ravens,BAL,D/ST
147,12.08,Rohan,,Justin Jackson,LAC,RB
148,12.09,Shashaank/Rawad,Deven/Insung,Justin Tucker,BAL,K
149,12.1,Manav/Brian,,Los Angeles Rams,LAR,D/ST
150,12.11,Sai/Jack,,Washington Football Team,WAS,D/ST
151,12.12,Ani,,Emmanuel Sanders,BUF,WR
152,12.13,Shray,Deven/Insung,Denver Broncos,DEN,D/ST
153,13.01,Ani,,Tampa Bay Buccaneers,TB,D/ST
154,13.02,Sai/Jack,,Buffalo Bills,BUF,D/ST
155,13.03,Manav/Brian,,Trey Lance,SF,QB
156,13.04,Deven/Insung,,Rashaad Penny,SEA,RB
157,13.05,Rohan,,Indianapolis Colts,IND,D/ST
158,13.06,Mateen/Krishna,,Jason Sanders,MIA,K
159,13.07,Vib/Adrian,,New Orleans Saints,NO,D/ST
160,13.08,Liam/Rushil,,Sterling Shepard,NYG,WR
161,13.09,Joel/Aryan,,New England Patriots,NE,D/ST
162,13.1,Shashaank/Rawad,,Trevor Lawrence,JAX,QB
163,13.11,Deven/Insung,Shray,Miami Dolphins,MIA,D/ST
164,13.12,Kruthik/Davis,,Cleveland Browns,CLE,D/ST
165,13.13,Deven/Insung,Shray,Tyler Bass,BUF,K
166,14.01,Kruthik/Davis,,Mark Ingram II,HOU,RB
167,14.02,Shray,,Malcolm Brown,MIA,RB
168,14.03,Shashaank/Rawad,,Randall Cobb,HOU,WR
169,14.04,Joel/Aryan,,Olamide Zaccheaus,,
170,14.05,Liam/Rushil,,Ryan Succop,TB,K
171,14.06,Vib/Adrian,,Amari Rodgers,GB,WR
172,14.07,Mateen/Krishna,,Terrace Marshall Jr.,CAR,WR
173,14.08,Rohan,,Joshua Palmer,,
174,14.09,Shray,Deven/Insung,Joe Burrow,CIN,QB
175,14.1,Manav/Brian,,Greg Zuerlein,DAL,K
176,14.11,Sai/Jack,,Deshaun Watson,HOU,QB
177,14.12,Ani,,Matt Gay,LAR,K
178,14.13,Manav/Brian,,John Brown,LV,WR
