Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
91,8.04,Manav/Brian,Liam/Rushil,Antonio Gibson,WAS,RB
92,8.05,Deven/Krishna,Deven/Krishna,Treylon Burks,TEN,WR
93,8.06,Kruthik/Davis,,Jordan Addison,MIN,WR
94,8.07,Shray,,Deshaun Watson,CLE,QB
95,8.08,Manav/Brian,,Daniel Jones,NYG,QB
96,8.09,Mateen,Shashaank/Rawad,Elijah Moore,CLE,WR
97,8.1,Mateen,,Zay Flowers,BAL,WR
98,8.11,Ani/Adrian,,Jamaal Williams,NO,RB
99,8.12,Vib/Pranav,,Quentin Johnston,LAC,WR
100,8.13,Joel/Aryan,Mateen,Evan Engram,JAC,TE
101,9.01,Vib/Pranav,,Courtland Sutton,DEN,WR
102,9.02,Ani/Adrian,,JuJu Smith-Schuster,NE,WR
103,9.03,Kruthik/Davis,Mateen,Rashaad Penny,PHI,RB
104,9.04,Shashaank/Rawad,,Zach Charbonnet,SEA,RB
105,9.05,Joel/Aryan,Manav/Brian,Odell Beckham Jr.,BAL,WR
106,9.06,Rohan/Mani,Joel/Aryan,Kadarius Toney,KC,WR
107,9.07,Mateen,Kruthik/Davis,Samaje Perine,DEN,RB
108,9.08,Deven/Krishna,,Darnell Mooney,CHI,WR
109,9.09,Liam/Rushil,,Rashod Bateman,BAL,WR
110,9.1,Rohan/Mani,,Dak Prescott,DAL,QB
111,9.11,Manav/Brian,Joel/Aryan,Kendre Miller,NO,RB
112,9.12,Sai/Jack,,Jeff Wilson Jr.,MIA,RB
113,9.13,Ani/Adrian,,Damien Harris,BUF,RB
114,10.01,Sai/Jack,,Raheem Mostert,MIA,RB
115,10.02,Liam/Rushil,Joel/Aryan; Manav/Brian,De'Von Achane,MIA,RB
116,10.03,Rohan/Mani,,San Francisco 49ers,SF,DST
117,10.04,Shray,Liam/Rushil,David Njoku,CLE,TE
118,10.05,Liam/Rushil,Deven/Krishna; Manav/Brian,Pat Freiermuth,PIT,TE
119,10.06,Kruthik/Davis,,Chigoziem Okonkwo,TEN,TE
120,10.07,Shray,,Skyy Moore,KC,WR
121,10.08,Joel/Aryan,Manav/Brian,Tyler Allgeier,ATL,RB
122,10.09,Shashaank/Rawad,,Elijah Mitchell,SF,RB
123,10.1,Shashaank/Rawad,Mateen,Allen Lazard,NYJ,WR
124,10.11,Ani/Adrian,,Adam Thielen,CAR,WR
125,10.12,Vib/Pranav,,Rondale Moore,ARI,WR
126,10.13,Rohan/Mani,,Jalin Hyatt,NYG,WR
127,11.01,Vib/Pranav,,DJ Chark Jr.,CAR,WR
128,11.02,Ani/Adrian,,D'Onta Foreman,CHI,RB
129,11.03,Mateen,,Nico Collins,HOU,WR
130,11.04,Shashaank/Rawad,,Anthony Richardson,IND,QB
131,11.05,Deven/Krishna,Manav/Brian,Jerick McKinnon,KC,RB
132,11.06,Shray,,Jaylen Warren,PIT,RB
133,11.07,Kruthik/Davis,,Zay Jones,JAC,WR
134,11.08,Deven/Krishna,,Jakobi Meyers,LV,WR
135,11.09,Liam/Rushil,,Justyn Ross,KC,WR
136,11.1,Rohan/Mani,,Tyler Boyd,CIN,WR
