Pick #,Round Pick #,Owner,Pick,Team,Pos.
93,8.06,"Joel/Aryan (via Sai/Jack,via Shashaank)",Cam Newton,CAR,QB
94,8.07,Deven/Insung,Carson Wentz,PHI,QB
95,8.08,Rushil/Krishna,David Njoku,CLE,TE
96,8.09,Adrian,Royce Freeman,DEN,RB
97,8.10,Joel/Aryan,Dante Pettis,SF,WR
98,8.11,Manav/Brian,Delanie Walker,TEN,TE
99,8.12,"Liam (via Mateen/Rohit,via Liam)",Tony Pollard,DAL,RB
100,8.13,Adrian,Kalen Ballage,MIA,RB
101,9.01,Mateen/Rohit (via Liam),Drew Brees,NO,QB
102,9.02,Manav/Brian,CHI D/ST,CHI,D/ST
103,9.03,"Mateen/Rohit (via Liam,via Joel/Aryan)",Adrian Peterson,WAS,RB
104,9.04,Adrian,Sammy Watkins,KC,WR
105,9.05,Rushil/Krishna,Jarred Goff,LAR,QB
106,9.06,Deven/Insung,Kareem Hunt,CLE,RB
107,9.07,Sai/Jack (via Shashaank),Russel Wilson,SEA,QB
108,9.08,Shray,Darwin Thompson,KC,RB
109,9.09,Liam (via Mateen/Rohit),Desean Jackson,PHI,WR
110,9.10,Ani,Darrell Henderson,LAR,RB
111,9.11,Kruthik/Rawad,Marquez Valdes-Scantling,GB,WR
112,9.12,Liam (via Sai/Jack),Lamar Jackson,BAL,QB
113,9.13,Shashaank (via Sai/Jack),Michael Gallup,DAL,WR
114,10.01,Shashaank (via Sai/Jack),Nyheim Hines,IND,RB
115,10.02,Kruthik/Rawad,Eric Ebron,IND,TE
116,10.03,Ani,Ito Smith,ATL,RB
117,10.04,Mateen/Rohit,Corey Davis,BAL,WR
118,10.05,Shray,Justin Jackson,LAC,RB
119,10.06,Liam (via Shashaank),Larry Firzgerald,ARI,WR
120,10.07,Deven/Insung,Courtland Sutton,DEN,WR
121,10.08,Rushil/Krishna,Anthony Miller,CHI,WR
122,10.09,Adrian,Geronimo Allison,GB,WR
123,10.10,Joel/Aryan,James Washington,PIT,WR
124,10.11,Manav/Brian,Ben Roethlisberger,PIT,QB
125,10.12,"Shashaank (via Sai/Jack,via Shashaank,via Liam)",Jack Doyle,IND,TE
126,10.13,Rushil/Krishna (via Manav/Brian),Eagles D/ST,PHI,D/ST
127,11.01,Shray (via Liam),Mark Andrews,BAL,TE
128,11.02,Manav/Brian,CJ Anderson,DET,RB
129,11.03,Joel/Aryan,DK Metcalf,SEA,WR
130,11.04,Adrian,Alexander Mattison,MIN,RB
131,11.05,Deven/Insung (via Rushil/Krishna),Kyler Murray,ARI,QB
132,11.06,Manav/Brian (via Deven/Insung),John Brown,BUF,WR
133,11.07,Shashaank,Tom Brady,NE,QB
134,11.08,"Shashaank (via Liam,via Shray)",Devin Singletary,BUF,RB
135,11.09,Mateen/Rohit,Dak Prescott,DAL,QB
