Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
133,11.07,Ani,Liam,Joshua Kelley,LAC,RB
134,11.08,Adrian/Rushil,,Sterling Shepard,NYG,WR
135,11.09,Liam,Joel/Aryan,Golden Tate,NYG,WR
136,11.1,Deven/Insung,,Curtis Samuel,CAR,WR
137,11.11,Manav/Brian,,49ers D/ST,SF,D/ST
138,11.12,Sai/Jack,,Carson Wentz,PHI,QB
139,11.13,Shashaank/Vib,,Antonio Brown,FA,WR
140,12.01,Sai/Jack,,Robby Anderson,CAR,WR
141,12.02,Manav/Brian,,Duke Johnson,HOU,RB
142,12.03,Deven/Insung,,Adrian Peterson,WAS,RB
143,12.04,Deven/Insung,Joel/Aryan,T.J. Hockenson,DET,TE
144,12.05,Mateen/Krishna,Adrian/Rushil,Ravens D/ST,BAL,D/ST
145,12.06,Kruthik/Rawad,"Mateen/Krishna, Liam",Justin Tucker,BAL,K
146,12.07,Mateen/Krishna,,Joe Burrow,CIN,QB
147,12.08,Ani,,Harrison Butker,KC,K
148,12.09,Shashaank/Vib,,Bills D/ST,BUF,D/ST
149,12.1,Shray,,Antonio Gibson,WAS,RB
150,12.11,Kruthik/Rawad,,Bears D/ST,CHI,D/ST
151,12.12,Rohan,,Patriots D/ST,NE,D/ST
152,12.13,Liam,,Chargers D/ST,LAC,D/ST
153,13.01,Rohan,,Wil Lutz,NO,K
154,13.02,Kruthik/Rawad,,Sammy Watkins,KC,WR
155,13.03,Sai/Jack,Shray,Vikings D/ST,MIN,D/ST
156,13.04,Shashaank/Vib,,Allen Lazard,GB,WR
157,13.05,Ani,,Damien Harris,NE,RB
158,13.06,Mateen/Krishna,,Greg Zuerlein,DAL,K
159,13.07,Liam,,Cam Newton,NE,QB
160,13.08,Adrian/Rushil,,Robbie Gould,SF,K
161,13.09,Joel/Aryan,,Colts D/ST,IND,D/ST
162,13.1,Deven/Insung,,N'Keal Harry,NE,WR
163,13.11,Manav/Brian,,Matt Gay,TB,K
164,13.12,Shray,Sai/Jack,Anthony Miller,CHI,WR
165,13.13,Joel/Aryan,,Younghoe Koo,ATL,K
166,14.01,Shray,Sai/Jack,Chase Edmonds,ARI,RB
167,14.02,Manav/Brian,,Ryan Tannehill,TEN,QB
168,14.03,Deven/Insung,,Ka'imi Fairbairn,HOU,K
169,14.04,Joel/Aryan,,Andy Isabella,ARI,WR
170,14.05,Adrian/Rushil,,Nyheim Hines,IND,RB
171,14.06,Liam,,Brandon McManus,DEN,K
172,14.07,Mateen/Krishna,,Tony Pollard,DAL,RB
173,14.08,Ani,,Eagles D/ST,PHI,D/ST
174,14.09,Shashaank/Vib,,Drew Lock,DEN,QB
175,14.1,Shray,,Brandon Aiyuk,SF,WR
176,14.11,Kruthik/Rawad,,Maxx Williams,ARI,TE
177,14.12,Rohan,,Greg Olsen,SEA,TE
178,14.13,Liam,,Devonta Freeman,FA,RB
